id,"organ","sentence",frequency
15826,"ръст","Ръст:169см.",1
15827,"тегло","Тегло:61кг.",1
15828,"ръст","Ръст- 172   см,",1
15829,"тегло","Тегло-   90   кг.",1
15830,"ръст","Ръст-  164  см,",1
15831,"тегло","Тегло-  64    кг.",1
15832,"ръст","Ръст-  165  см,",1
15833,"тегло","Тегло-  68    кг.",1
15834,"ръст","Ръст-  166  см,",1
15835,"тегло","Тегло-   71   кг.",1
15836,"ръст","Ръст:  166см",1
15837,"тегло","Тегло:  60кг",1
15838,"ръст","Ръст:165см.",1
15839,"ръст","Ръст -172",1
15840,"тегло","Тегло -85 .",1
15841,"ръст","Ръст-168:",1
15842,"тегло","Тегло-93кг:",1
15843,"ръст","Ръст:173см.",1
15844,"тегло","Тегло:83кг.",1
15845,"ръст","Ръст -165",1
15846,"тегло","Тегло -92 .",1
15847,"тегло","Тегло -72 .",1
15848,"ръст","Ръст- 177см",2
15849,"тегло","Тегло- 96кг.",1
15850,"тегло","Тегло-115кг.",1
15851,"ръст","Ръст:183см.",2
15852,"тегло","Тегло-78кг.",1
15853,"ръст","Ръст 165 /",1
15854,"ръст","Ръст-176см.",1
15855,"тегло","Тегло-110кг.",1
15856,"ръст","Ръст  170см ,",1
15857,"тегло","Тегло 82кг",2
15858,"ръст","Ръст 173 см",1
15859,"тегло","тегло 82 кг .",1
15860,"ръст","Ръст:166см.",2
15861,"тегло","Тегло:50кг",1
15862,"ръст","Ръст  166см ,",1
15863,"тегло","Тегло 74кг",2
15864,"ръст","Ръст:175 см.",1
15865,"тегло","Тегло: 98 кг  .",1
15866,"ръст","Ръст : 155 cm,",1
15867,"тегло","Тегло : 80 кг,",1
15868,"ръст","Ръст  181смсм ,",1
15869,"тегло","Тегло 76кг,",1
15870,"ръст","Ръст:164 см.",1
15871,"тегло","Тегло: 68 кг.",3
15872,"ръст","Ръст - 1,50 м.",1
15873,"тегло","Тегло -87 кг,",1
15874,"ръст","Ръст: 164 см.",1
15875,"тегло","Тегло: 86 кг.",1
15876,"ръст","Ръст:1,55м.",1
15877,"тегло","Тегло:62кг.",1
15878,"ръст","Ръст  157см ,",1
15879,"тегло","Тегло 80кг",6
15880,"ръст","Ръст-175см.",1
15881,"тегло","Тегло-95кг.",1
15882,"ръст","Ръст:172см.",1
15883,"тегло","Тегло:75кг.",1
15884,"тегло","Тегло:92кг.",1
15885,"ръст","Ръст  168см ,",2
15886,"тегло","Тегло 72кг",2
15887,"ръст","ръст 164см",5
15888,"тегло","тегло 108 кг",1
15889,"ръст","Ръст  150см ,",1
15890,"тегло","Тегло 50кг",1
15891,"ръст","ръст: 170 см.",2
15892,"тегло","тегло: 82 кг.",1
15893,"тегло","Тегло- 74кг.",1
15894,"ръст","ръст: 150 см.",1
15895,"тегло","тегло: 70 кг.",1
15896,"ръст","ръст: 178 см.",1
15897,"тегло","тегло: 81 кг.",1
15898,"ръст","ръст: 160 см.",2
15899,"тегло","тегло: 76 кг.",1
15900,"ръст","ръст 145 см",1
15901,"тегло","тегло 52кг",1
15902,"ръст","Ръст: 162см",1
15903,"тегло","Тегло: 53 кг",1
15904,"тегло","тегло: 56 кг.",1
15905,"ръст","Ръст - 166 см .",1
15906,"тегло","Тегло - 70 кг .",1
15907,"ръст","ръст: 162 см.",1
15908,"ръст","ръст 171см",1
15909,"тегло","тегло 95кг",1
15910,"ръст","ръст 170 см",1
15911,"тегло","тегло 88 кг",1
15912,"ръст","ръст 152 см",1
15913,"тегло","тегло 62 кг",1
15914,"ръст","ръст 177 см",1
15915,"тегло","тегло 94 кг",1
15916,"ръст","ръст 162 см",1
15917,"тегло","тегло 107 кг",1
15918,"тегло","Тегло:97 кг.",1
15919,"ръст","Ръст:",1
15920,"тегло","Тегло:",1
15921,"ръст","Ръст:171",1
15922,"тегло","Тегло:    80",1
15923,"ръст","Ръст: 158",1
15924,"тегло","Тегло:  68",1
15925,"ръст","Ръст 170",1
15926,"тегло","Тегло 65",1
15927,"ръст","Ръст 181",1
15928,"тегло","Тегло 98",1
15929,"ръст","Ръст-174см..",1
15930,"тегло","Тегло-73кг.",1
15931,"млечна жлеза","Мл.жлези   б.о.",2
15932,"млечна жлеза","Мл.жл. б.о.",1
15933,"млечна жлеза","Мл. Жлези-б о",1
15934,"око","VOD 1, 5VOS1, 75",1
15935,"млечна жлеза","Мл. жл. б.о.",2
15936,"млечна жлеза","Мл. жл. б. О.",1
15937,"млечна жлеза","Мл.жлези-бо",1
15938,"млечна жлеза","Мл. жлези- б.о.",2
15939,"млечна жлеза","Мл.жл.-б.о.",1
15940,"око","VOD-1,0",1
15941,"млечна жлеза","МЛ. жлези-мамектомиа син..",1
15942,"млечна жлеза","Мл.жл. - бо.",1
15943,"бял дроб","Pulmo - Леко отслабено везик",1
15944,"млечна жлеза","Мл.жлези - б.о.",1
15945,"млечна жлеза","мл. жлези бо.",1
15946,"млечна жлеза","Мл. жл.-мамектомия в ляво.",1
15947,"млечна жлеза","Млечна жлеза б.о.",1
15948,"млечна жлеза","Млечна жлеза - нормални .",1
15949,"млечна жлеза","Млечна жл, без патологични промени,Обучена в палпащия на млечна жл",1
15950,"нервна система","Нервна система:",1
15951,"нервна система","Нервна с-ма без промени .",2
15952,"нервна система","Нервна с-ма б.о.",1
15953,"нервна система","Нервна система: Компенсирана с МСБ",2
15954,"нервна система","Нервна с-ма-намалена сетивност",1
15955,"нервна система","Нервна система -б.о",1
15956,"око","VOD=0,6",1
15957,"ухо","Слух- б.о.",3
15958,"ухо","слух - б.о ,",1
15959,"ухо","слух - б. О,",1
15960,"ухо","СЛУХ-норм",1
15961,"око","ЗРЕНИЕ-0.7/0.7",1
15962,"око","ЗРЕНИЕ-пресбиоипия",1
15963,"гръден кош","Гръден кош- симетричен,",1
15964,"гръден кош","Гръден кош-сколиоза,",1
15965,"гръден кош","Гръден кош-мамектомия в дясно..",1
15966,"гърди","Гърди-без Ту-формации",1
15967,"гърди","Гърди без ТУ обр.",1
15968,"гърди","Гърди-без Ту-формации,оперативен цикатрикс в ляво.",1
15969,"гърди","гърди симетрични, спокойни,",1
15970,"гърди","Гърди-симетрични,без уплътнения в паренхима им.",1
15971,"гърди","Гърди - симетрични , липсва палпаторна болезненост . Обучение за самоизследване .",1
15972,"гърди","Гърди - меки не се опипват ТУ формации",2
15973,"гърди","Гърди - квадрантектомия на лява мл.жл.",1
15974,"бъбрек","S.R. - двустранно отр.",11
15975,"опорно-двигателен апарат","ОДА - варици",1
15976,"опорно-двигателен апарат","ОДА - варици.",1
15977,"опорно-двигателен апарат","ОДА - отоци по подбедриците",2
15978,"опорно-двигателен апарат","ОДА - отоци по подбедриците.",1
15979,"опорно-двигателен апарат","ОДА - варици по подбедрицита.",1
15980,"опорно-двигателен апарат","ОДА -без отоци по подбедриците",3
15981,"опорно-двигателен апарат","ОДА - отоци по подбедрицитеПалп",1
15982,"опорно-двигателен апарат","ОДА - оток и болка на десния палец.",1
15983,"лимфни възли","ПЛВ нувл.",1
15984,"лимфни възли","ПЛВ И щЖ - УВЕЛ.",1
15985,"лимфни възли","ПЛВ - б.о.",1
15986,"лимфни възли","ПЛВ И ЩЖ-Б.О",1
15987,"лимфни възли","ПЛВ -бо",1
15988,"лимфни възли","ПЛВ - неув..",1
15989,"лимфни възли","ПЛВ  - неув.",1
15990,"лимфни възли","ПЛВ и щит. жл.неувеличени .",1
15991,"лимфни възли","ПЛВ и щит. жл. не увел.",1
15992,"нервна система","Нервно псих съст-б.о.",2
15993,"нервна система","Нервно състояние- б.о",2
15994,"нервна система","нерв.Психичен статус-норма!",1
15995,"нервна система","Нервна с-ма",1
15996,"нервна система","Нервно-психическо състояние-без отклонение",1
15997,"нервна система","Нервна с-ма- в нормален неврологчен статус .",1
15998,"нервна система","Нервна система  снизени СНР.намалена мускулна сила за 4 крайника,",1
15999,"око","зрение намалено",1
16000,"сърце","Cor-р.с.д.",4
16001,"пулс","fr. - 70/min.",3
16002,"пулс","fr. - 68/min.",9
16003,"пулс","Fr. 78уд. /мин.",2
16004,"сърце","Cor- р. С. Д. С",4
16005,"пулс","fr. - 66/min.",1
16006,"пулс","fr. - 67/min.",2
16007,"пулс","fr. - 70 /min.",1
16008,"сърце","Cor -a р.с.д.",2
16009,"сърце","Cor - р. С. Д.,",1
16010,"пулс","fr. - 65/min.",1
16011,"сърце","Cor -ритм. сърд. д-ст",1
16012,"пулс","fr78/min.",1
16013,"сърце","Cor -права линия",1
16014,"черен дроб","Hepar и Lien-не се палпират",1
16015,"кръвно налягане","RR130/80 .",1
16016,"кръвно налягане","RR130/85 .",1
16017,"кръвно налягане","АН 120/ 80,",1
16018,"кръвно налягане","АН 125/85 .",1
16019,"сърце","cor- ритм.сърд.д-ст.",1
16020,"кръвно налягане","RR135/85 .",1
16021,"черен дроб","Hepar et lien  не се палпират,",1
16022,"крайници","Крайници - bez otoci po podbedrici",1
16023,"крайници","Крайници - артрозни промени.",1
